,date,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,High,Low,Open,Close,Volume,Adj Close
631,2018-07-06,0.87,0.0,-0.37,-0.23,-0.12,0.008,0.167995889755519,247.6699981689453,240.8800048828125,241.74000549316406,247.3300018310547,7408800.0,245.72784423828125
632,2018-07-09,0.93,-0.28,0.77,0.0,-0.19,0.008,0.171994286568857,250.72000122070312,246.07000732421875,250.3300018310547,249.25,7597000.0,247.63539123535156
633,2018-07-10,0.21,-0.84,-0.08,0.1,0.27,0.008,0.173697484745444,254.13999938964844,248.1199951171875,249.75,253.25,9000400.0,251.60946655273438
634,2018-07-11,-0.69,-0.05,-0.52,-0.09,-0.32,0.008,0.175564549923519,250.89999389648438,247.10000610351562,249.5,247.52999877929688,9187700.0,245.92654418945312
635,2018-07-12,0.86,-0.41,-1.09,-0.02,-0.49,0.008,0.177595705533363,253.1699981689453,248.9600067138672,249.36000061035156,251.22999572753906,8637700.0,249.60255432128906
636,2018-07-13,0.08,-0.17,-0.28,0.35,0.19,0.008,0.179791194641836,251.97999572753906,247.6199951171875,251.97999572753906,249.32000732421875,6174700.0,247.70494079589844
637,2018-07-16,-0.16,-0.61,0.84,-0.2,-0.16,0.008,0.187583372957349,250.33999633789062,247.6999969482422,248.1999969482422,248.1999969482422,4925900.0,246.59219360351562
638,2018-07-17,0.48,0.15,-0.69,0.13,-0.23,0.008,0.191003049356752,254.3000030517578,245.17999267578125,246.2100067138672,253.69000244140625,9053400.0,252.04664611816406
639,2018-07-18,0.27,-0.14,0.6,-0.16,-0.14,0.008,0.194935682410185,253.9499969482422,249.63999938964844,253.38999938964844,251.6999969482422,6941000.0,250.0695037841797
640,2018-07-19,-0.34,0.93,-0.37,0.21,0.04,0.008,0.199381742732881,253.38999938964844,250.3300018310547,250.94000244140625,252.02999877929688,5893800.0,250.3973846435547
641,2018-07-20,-0.1,-0.16,0.08,0.09,-0.24,0.008,0.204341762381527,253.5,250.4499969482422,251.92999267578125,250.88999938964844,5558800.0,249.2647705078125
642,2018-07-23,0.15,-0.18,0.37,-0.21,-0.2,0.008,0.222181786305498,249.88999938964844,243.27999877929688,249.82000732421875,249.41000366210938,7539600.0,247.7943572998047
643,2018-07-24,0.22,-1.33,0.52,0.46,0.1,0.008,0.228769384497369,254.85000610351562,248.0,251.35000610351562,248.7100067138672,8865500.0,247.09890747070312
644,2018-07-25,0.83,-0.58,-1.21,0.05,-0.31,0.008,0.235569698388588,252.3800048828125,246.75,249.08999633789062,251.8699951171875,7977800.0,250.23843383789062
645,2018-07-26,-0.2,0.75,0.61,-0.02,0.61,0.008,0.242583541767589,256.3299865722656,250.3800048828125,251.05999755859375,254.83999633789062,8128100.0,253.18917846679688
646,2018-07-27,-0.82,-1.2,1.15,0.51,0.52,0.008,0.249811753975722,256.6000061035156,249.83999633789062,256.32000732421875,252.02000427246094,7385500.0,250.387451171875
647,2018-07-30,-0.7,-0.02,1.67,0.25,1.01,0.008,0.272966108281472,252.8300018310547,242.72000122070312,252.58999633789062,244.1300048828125,8508500.0,242.54856872558594
648,2018-07-31,0.51,0.69,-0.96,0.31,0.27,0.008,0.28130135629865,247.8800048828125,242.13999938964844,243.7100067138672,244.86000061035156,7099700.0,243.27381896972656
649,2018-08-01,-0.13,0.01,-0.3,-0.17,-0.74,0.006999999999999999,0.289921512139447,248.36000061035156,243.88999938964844,246.1300048828125,246.47000122070312,7088900.0,244.87339782714844
650,2018-08-02,0.67,0.22,-0.73,-0.03,-0.57,0.006999999999999999,0.298549642464234,250.77999877929688,241.2100067138672,243.58999633789062,250.6199951171875,6741700.0,248.9965057373047
651,2018-08-03,0.31,-0.92,0.56,0.63,0.37,0.006999999999999999,0.306291004184475,253.05999755859375,250.92999267578125,251.61000061035156,252.10000610351562,5357200.0,250.46693420410156
